"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 50","26,237.45","26,280.75","26,172.40","26,215.55","26,218.30","-","2.75","0.01","14,95,26,948","15,188.62","26,310.45","21,743.65","0.96","8.35"
"M&M","3,692.00","3,768.90","3,690.10","3,681.20","3,753.90","-","72.70","1.97","23,14,472","867.48","3,781.00","2,425.00","1.93","23.32"
"ADANIENT","2,267.10","2,331.00","2,247.80","2,255.00","2,282.70","-","27.70","1.23","27,29,126","627.05","2,616.50","1,967.52","-9.54","4.86"
"SUNPHARMA","1,810.30","1,832.30","1,807.50","1,810.30","1,829.80","-","19.50","1.08","12,06,819","219.92","1,910.00","1,548.00","6.89","2.76"
"SBIN","976.80","983.00","973.05","972.85","982.55","-","9.70","1.00","50,94,261","498.55","999.00","680.00","5.43","15.90"
"KOTAKBANK","2,119.00","2,141.80","2,102.20","2,110.20","2,125.50","-","15.30","0.73","26,67,115","566.94","2,301.90","1,723.75","-1.79","18.31"
"ADANIPORTS","1,510.00","1,534.30","1,503.10","1,509.10","1,519.60","-","10.50","0.70","22,12,876","337.03","1,534.30","1,010.75","6.23","33.68"
"TECHM","1,515.80","1,525.30","1,503.70","1,509.80","1,520.40","-","10.60","0.70","10,19,577","154.84","1,807.70","1,209.40","3.21","-13.50"
"EICHERMOT","6,999.00","7,065.00","6,956.00","6,999.00","7,041.00","-","42.00","0.60","2,93,484","206.29","7,284.50","4,646.00","1.34","41.92"
"HINDUNILVR","2,450.00","2,470.00","2,447.20","2,451.70","2,464.30","-","12.60","0.51","6,71,657","165.36","2,750.00","2,136.00","-2.39","-1.11"
"DRREDDY","1,250.00","1,256.80","1,245.00","1,249.30","1,255.10","-","5.80","0.46","3,76,242","47.06","1,405.90","1,020.00","-2.73","3.36"
"BAJAJ-AUTO","9,031.00","9,106.00","8,922.00","9,022.50","9,063.00","-","40.50","0.45","3,53,369","317.96","9,490.00","7,089.35","-0.80","-1.26"
"CIPLA","1,525.20","1,533.30","1,520.60","1,525.20","1,532.10","-","6.90","0.45","5,98,516","91.38","1,673.00","1,335.00","-3.71","2.18"
"RELIANCE","1,568.00","1,581.30","1,563.00","1,563.40","1,569.40","-","6.00","0.38","72,87,871","1,146.33","1,581.30","1,114.85","5.34","20.66"
"APOLLOHOSP","7,330.00","7,359.00","7,300.00","7,322.50","7,342.50","-","20.00","0.27","2,07,821","152.29","8,099.50","6,001.00","-6.67","3.48"
"HINDALCO","812.20","815.00","808.05","807.55","809.45","-","1.90","0.24","25,26,179","204.87","864.00","546.45","-3.96","21.24"
"BAJFINANCE","1,038.00","1,043.50","1,031.00","1,033.80","1,036.00","-","2.20","0.21","39,51,740","409.82","1,102.50","649.10","-4.67","-84.38"
"TCS","3,140.00","3,147.30","3,125.00","3,136.60","3,142.50","-","5.90","0.19","10,67,224","334.87","4,494.90","2,866.60","1.68","-27.94"
"WIPRO","251.00","251.99","248.60","249.56","250.00","-","0.44","0.18","51,83,670","129.63","324.60","228.00","2.32","-57.63"
"TITAN","3,906.20","3,934.90","3,903.30","3,903.30","3,910.00","-","6.70","0.17","3,94,260","154.42","3,956.00","2,925.00","4.37","17.30"
"HDFCBANK","1,007.00","1,012.05","1,004.20","1,009.50","1,010.80","-","1.30","0.13","1,15,00,877","1,160.80","1,020.50","812.15","0.65","-43.46"
